,so_id,sso_id,customer_id,quantity,label_price,discount,amount,paid_time,item_id,option_id,order_date,order_weekday,order_hour,is_weekend,is_night,customer_segment,member_level,customer_group_id,is_multi_order,cluster,year,month
0,SO_0,0,Customer_145,1,108.78,0.9,97.902,2021-01-01 00:36:33,Item_1,Option_1,2021-01-01,4,0,0,1,Medium,B,CustomerGroup_0,False,2,2021,1
1,SO_0,1,Customer_145,1,202.94,0.9,182.64600000000002,2021-01-01 00:36:33,Item_1,Option_20,2021-01-01,4,0,0,1,Medium,B,CustomerGroup_0,False,2,2021,1
2,SO_1,0,Customer_243,1,192.22,0.9,172.998,2021-01-01 01:00:16,Item_0,Option_12,2021-01-01,4,1,0,1,Medium,A,CustomerGroup_0,False,2,2021,1
3,SO_1,1,Customer_243,3,123.25,0.9,332.77500000000003,2021-01-01 01:00:16,Item_0,Option_0,2021-01-01,4,1,0,1,Medium,A,CustomerGroup_0,False,2,2021,1
4,SO_2,0,Customer_217,4,170.82,0.9,614.952,2021-01-01 01:42:00,Item_4,Option_18,2021-01-01,4,1,0,1,Medium,B,CustomerGroup_0,False,2,2021,1
5,SO_3,0,Customer_955,2,170.82,0.9,307.476,2021-01-01 08:42:20,Item_4,Option_18,2021-01-01,4,8,0,0,Medium,B,CustomerGroup_2,False,2,2021,1
6,SO_5,0,Customer_770,1,94.12,0.9,84.70800000000001,2021-01-01 10:49:26,Item_5,Option_5,2021-01-01,4,10,0,0,High,B,CustomerGroup_1,False,1,2021,1
7,SO_5,1,Customer_770,1,68.59,0.9,61.731,2021-01-01 10:49:26,Item_4,Option_4,2021-01-01,4,10,0,0,High,B,CustomerGroup_1,False,1,2021,1
8,SO_6,0,Customer_901,1,170.82,0.9,153.738,2021-01-01 10:57:11,Item_4,Option_18,2021-01-01,4,10,0,0,Low,A,CustomerGroup_2,False,0,2021,1
9,SO_7,0,Customer_245,1,48.32,0.9,43.488,2021-01-01 12:24:50,Item_9,Option_9,2021-01-01,4,12,0,0,Low,C,CustomerGroup_0,False,0,2021,1
10,SO_8,0,Customer_607,1,192.22,0.9,172.998,2021-01-01 12:39:05,Item_0,Option_12,2021-01-01,4,12,0,0,Medium,A,CustomerGroup_1,False,1,2021,1
11,SO_9,0,Customer_59,2,70.1,0.9,126.17999999999999,2021-01-01 13:22:23,Item_11,Option_21,2021-01-01,4,13,0,0,Medium,B,CustomerGroup_0,False,2,2021,1
12,SO_10,0,Customer_686,2,29.53,0.9,53.154,2021-01-01 15:51:10,Item_8,Option_19,2021-01-01,4,15,0,0,Medium,B,CustomerGroup_1,False,1,2021,1
13,SO_11,0,Customer_52,1,170.82,0.9,153.738,2021-01-01 17:07:16,Item_4,Option_18,2021-01-01,4,17,0,0,Low,B,CustomerGroup_0,False,2,2021,1
14,SO_11,1,Customer_52,1,68.59,0.9,61.731,2021-01-01 17:07:16,Item_4,Option_4,2021-01-01,4,17,0,0,Low,B,CustomerGroup_0,False,2,2021,1
15,SO_12,0,Customer_28,2,53.18,0.9,95.724,2021-01-01 17:35:35,Item_8,Option_8,2021-01-01,4,17,0,0,Low,A,CustomerGroup_0,False,2,2021,1
16,SO_13,1,Customer_272,1,68.59,0.9,61.731,2021-01-01 17:54:24,Item_4,Option_4,2021-01-01,4,17,0,0,Low,A,CustomerGroup_0,False,2,2021,1
17,SO_13,0,Customer_272,2,170.82,0.9,307.476,2021-01-01 17:54:24,Item_4,Option_18,2021-01-01,4,17,0,0,Low,A,CustomerGroup_0,False,2,2021,1
18,SO_14,0,Customer_423,1,49.83,0.9,44.847,2021-01-01 18:50:47,Item_3,Option_3,2021-01-01,4,18,0,0,Low,B,CustomerGroup_0,False,0,2021,1
19,SO_15,0,Customer_672,1,202.94,0.9,182.64600000000002,2021-01-01 20:03:55,Item_1,Option_20,2021-01-01,4,20,0,1,Medium,B,CustomerGroup_1,False,1,2021,1
20,SO_16,0,Customer_41,2,68.59,0.9,123.462,2021-01-01 20:51:23,Item_4,Option_4,2021-01-01,4,20,0,1,Low,C,CustomerGroup_0,False,2,2021,1
21,SO_17,0,Customer_479,2,94.12,0.9,169.41600000000003,2021-01-01 21:49:12,Item_5,Option_5,2021-01-01,4,21,0,1,Medium,B,CustomerGroup_0,False,2,2021,1
22,SO_18,0,Customer_815,1,68.59,0.9,61.731,2021-01-01 22:15:22,Item_4,Option_4,2021-01-01,4,22,0,1,Medium,A,CustomerGroup_2,False,2,2021,1
23,SO_19,0,Customer_292,1,176.5,0.9,158.85,2021-01-01 22:34:51,Item_6,Option_15,2021-01-01,4,22,0,1,Low,B,CustomerGroup_0,False,0,2021,1
