sum,count,multiorder_ratio,multiorder_ratio_smooth
0,25,0.0,
2,16,0.125,
1,21,0.047619047619047616,
2,28,0.07142857142857142,0.039965986394557826
0,12,0.0,0.05017006802721088
1,28,0.03571428571428571,0.07127396413110698
0,28,0.0,0.06447124304267161
1,14,0.07142857142857142,0.05426716141001854
3,11,0.2727272727272727,0.06047834153424214
0,8,0.0,0.06558038235056868
0,9,0.0,0.0745089537791401
1,23,0.043478260869565216,0.06430487214648704
2,28,0.07142857142857142,0.04439145223306714
1,16,0.0625,0.05279481357760495
0,17,0.0,0.05279481357760495
2,15,0.13333333333333333,0.05410243044586255
1,17,0.058823529411764705,0.054102430445862555
0,18,0.0,0.04517385901729113
1,19,0.05263157894736842,0.06558202228259725
2,28,0.07142857142857142,0.0465344032349782
0,17,0.0,0.04289294665234515
3,21,0.14285714285714285,0.05082945458885309
0,17,0.0,0.053514739229024944
1,30,0.03333333333333333,0.06528867957439385
1,18,0.05555555555555555,0.07280747656687506
1,14,0.07142857142857142,0.05239931330156894
2,13,0.15384615384615385,0.05239931330156894
1,19,0.05263157894736842,0.04763740853966418
0,10,0.0,0.05160566250791814
0,18,0.0,0.04140158087526508
0,14,0.0,0.019423558897243103
1,12,0.08333333333333333,0.011904761904761904
0,13,0.0,0.030952380952380953
0,20,0.0,0.03095238095238095
0,23,0.0,0.03095238095238095
2,15,0.13333333333333333,0.019047619047619042
0,10,0.0,0.029251700680272105
0,15,0.0,0.029251700680272108
0,11,0.0,0.029251700680272108
1,14,0.07142857142857142,0.010204081632653057
0,2,0.0,0.010204081632653057
0,1,0.0,0.010204081632653057
0,2,0.0,0.0419501133786848
0,5,0.0,0.03174603174603174
0,5,0.0,0.03174603174603174
2,9,0.2222222222222222,0.03174603174603174
0,6,0.0,0.03174603174603174
0,4,0.0,0.03174603174603174
0,5,0.0,0.03174603174603174
0,11,0.0,0.0
0,5,0.0,0.0
0,8,0.0,0.0
0,10,0.0,0.00952380952380952
0,10,0.0,0.00952380952380952
0,13,0.0,0.00952380952380952
1,15,0.06666666666666667,0.00952380952380952
0,9,0.0,0.017042606516290724
0,14,0.0,0.017042606516290724
0,24,0.0,0.017042606516290724
1,19,0.05263157894736842,0.007518796992481198
0,16,0.0,0.007518796992481198
0,14,0.0,0.007518796992481198
0,15,0.0,0.007518796992481198
0,7,0.0,0.0119047619047619
0,9,0.0,0.0119047619047619
0,8,0.0,0.02976190476190476
1,12,0.08333333333333333,0.02976190476190476
0,7,0.0,0.02976190476190476
3,24,0.125,0.02976190476190476
0,15,0.0,0.02976190476190476
0,12,0.0,0.027380952380952377
0,14,0.0,0.027380952380952377
0,10,0.0,0.009523809523809521
1,15,0.06666666666666667,0.009523809523809521
0,10,0.0,0.009523809523809521
0,16,0.0,0.009523809523809521
0,2,0.0,0.017927170868347338
0,16,0.0,0.008403361344537813
0,12,0.0,0.0226890756302521
1,17,0.058823529411764705,0.029491796718687475
0,12,0.0,0.029491796718687475
1,10,0.1,0.029491796718687475
